City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Acari,PE,73.62,scattered clouds,-15.4311,-74.6158,A.h Pueblo Nuevo Acari
4,Hirara,JP,80.15,overcast clouds,24.8,125.2833,Hirara
6,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Padang
8,Konigswinter,DE,77.43,broken clouds,50.6833,7.1833,Bonn
9,Rikitea,PF,76.51,light rain,-23.1203,-134.9692,Rikitea
11,Meulaboh,ID,78.35,overcast clouds,4.1363,96.1285,Meulaboh
16,Rosetta,EG,77.0,clear sky,31.4044,30.4164,Rasheed
17,Gat,IL,83.39,few clouds,31.61,34.7642,Kiryat Gat
18,Tautira,PF,77.02,overcast clouds,-17.7333,-149.15,Tautira
19,Atuona,PF,78.85,light rain,-9.8,-139.0333,Atuona
20,Waingapu,ID,75.02,broken clouds,-9.6567,120.2641,Waingapu
29,Kaniama,CD,85.87,few clouds,-7.5667,24.1833,Kaniama
30,Kapaa,US,76.12,light rain,22.0752,-159.319,Kapaʻa
32,Saint-Joseph,RE,70.16,light rain,-21.3667,55.6167,Saint Joseph
34,Tambopata,PE,80.13,few clouds,-12.7333,-69.1833,Chonta
36,Nantucket,US,75.54,scattered clouds,41.2835,-70.0995,Nantucket
43,Trairi,BR,86.5,overcast clouds,-3.2778,-39.2689,Trairi
49,Port Blair,IN,81.18,very heavy rain,11.6667,92.75,Port Blair
51,Maarianhamina,AX,71.46,clear sky,60.0973,19.9348,Mariehamn
52,Jamestown,US,76.01,overcast clouds,42.097,-79.2353,Jamestown
53,La Asuncion,VE,81.03,overcast clouds,11.0333,-63.8628,La Asuncion
58,Avera,US,76.95,overcast clouds,33.194,-82.5271,Avera
59,Port Alfred,ZA,71.08,overcast clouds,-33.5906,26.891,Port Alfred
61,Butaritari,KI,79.92,moderate rain,3.0707,172.7902,Ukiangang
62,Naze,JP,74.17,overcast clouds,28.3667,129.4833,Amami
66,Havelock,US,82.94,broken clouds,34.8791,-76.9013,Havelock
68,George,ZA,72.95,clear sky,-33.963,22.4617,George
69,Faanui,PF,79.18,overcast clouds,-16.4833,-151.75,Vaitape
70,Kahului,US,76.84,scattered clouds,20.8947,-156.47,Kahului
71,Georgetown,MY,84.15,few clouds,5.4112,100.3354,George Town
72,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Vila Velha
74,Bud,US,78.22,broken clouds,39.446999999999996,-86.1758,Trafalgar
78,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Vieux Grand Port
79,Indramayu,ID,80.53,overcast clouds,-6.3264,108.32,Indramayu
80,Souillac,MU,73.78,light rain,-20.5167,57.5167,Souillac
81,Acapulco,MX,84.31,overcast clouds,16.8634,-99.8901,Acapulco
84,Hithadhoo,MV,82.9,broken clouds,-0.6,73.0833,Addu City
86,Kuala Terengganu,MY,81.28,overcast clouds,5.3302,103.1408,Kuala Terengganu
87,Torbay,CA,83.88,scattered clouds,47.6666,-52.7314,St. John's
90,Alexandria,EG,78.66,clear sky,31.2156,29.9553,Alexandria
91,Wisconsin Rapids,US,85.23,few clouds,44.3836,-89.8174,Wisconsin Rapids
93,Naifaru,MV,83.37,overcast clouds,5.4444,73.3657,Naifaru
96,Ishigaki,JP,81.19,overcast clouds,24.3448,124.1572,Ishigaki
97,Senanga,ZM,79.03,few clouds,-16.1167,23.2667,Senanga
100,Port Elizabeth,ZA,77.29,clear sky,-33.918,25.5701,Gqeberha
102,Ponta Do Sol,PT,77.63,overcast clouds,32.6667,-17.1,Ribeira Brava
104,Shimoda,JP,74.16,clear sky,34.6667,138.95,Shimoda
105,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Hong Kong
106,Luangwa,ZM,73.76,scattered clouds,-15.6167,30.4167,Zumbo
107,East London,ZA,70.25,scattered clouds,-33.0153,27.9116,East London
