City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,69.89,54,0,1.99,clear sky
1,Upernavik,GL,72.7868,-56.1549,37.85,84,1,1.92,clear sky
2,Bogdana,RO,43.9333,25.0833,67.01,59,87,3.96,heavy intensity rain
3,Acari,PE,-15.4311,-74.6158,73.62,53,34,4.68,scattered clouds
4,Hirara,JP,24.8,125.2833,80.15,81,100,16.2,overcast clouds
5,Aginskoye,RU,51.1,114.53,54.1,54,9,2.73,clear sky
6,Padang,ID,-0.9492,100.3543,77.05,87,85,2.64,overcast clouds
7,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,9.22,broken clouds
8,Konigswinter,DE,50.6833,7.1833,77.43,60,55,5.93,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,76.51,83,99,19.48,light rain
10,Vaini,TO,-21.2,-175.2,62.76,94,20,4.61,few clouds
11,Meulaboh,ID,4.1363,96.1285,78.35,84,100,0.38,overcast clouds
12,Sept-Iles,CA,50.2001,-66.3821,65.7,46,11,15.66,few clouds
13,Mataura,NZ,-46.1927,168.8643,49.48,96,100,2.3,overcast clouds
14,Bredasdorp,ZA,-34.5322,20.0403,69.12,56,0,5.86,clear sky
15,Busselton,AU,-33.65,115.3333,57.04,54,100,20.42,overcast clouds
16,Rosetta,EG,31.4044,30.4164,77.0,62,0,10.2,clear sky
17,Gat,IL,31.61,34.7642,83.39,46,12,12.12,few clouds
18,Tautira,PF,-17.7333,-149.15,77.02,79,90,11.81,overcast clouds
19,Atuona,PF,-9.8,-139.0333,78.85,81,53,16.87,light rain
20,Waingapu,ID,-9.6567,120.2641,75.02,82,61,8.05,broken clouds
21,Kaitangata,NZ,-46.2817,169.8464,43.93,87,93,3.62,overcast clouds
22,Thompson,CA,55.7435,-97.8558,50.16,87,75,6.91,broken clouds
23,San Jeronimo,PE,-11.9472,-75.2829,54.16,62,86,3.15,overcast clouds
24,Gidole,ET,5.65,37.3667,66.0,57,19,7.02,few clouds
25,Berezna,UA,51.5716,31.7846,68.2,79,95,9.8,overcast clouds
26,Ushuaia,AR,-54.8,-68.3,44.22,81,75,3.44,broken clouds
27,Yerbogachen,RU,61.2767,108.0108,39.51,74,41,3.65,scattered clouds
28,Pangody,RU,65.85,74.4859,41.7,51,100,10.96,overcast clouds
29,Kaniama,CD,-7.5667,24.1833,85.87,33,17,5.55,few clouds
30,Kapaa,US,22.0752,-159.319,76.12,80,90,3.0,light rain
31,Colac,AU,-38.3333,143.5833,48.16,92,100,13.85,light rain
32,Saint-Joseph,RE,-21.3667,55.6167,70.16,76,31,16.53,light rain
33,Stepnyak,KZ,52.8339,70.7803,63.52,60,100,16.82,overcast clouds
34,Tambopata,PE,-12.7333,-69.1833,80.13,80,24,1.68,few clouds
35,San Quintin,MX,30.4833,-115.95,64.44,68,100,9.53,overcast clouds
36,Nantucket,US,41.2835,-70.0995,75.54,97,46,16.69,scattered clouds
37,Carnarvon,AU,-24.8667,113.6333,66.27,55,40,18.41,light rain
38,Khatanga,RU,71.9667,102.5,36.57,78,100,9.78,overcast clouds
39,Punta Arenas,CL,-53.15,-70.9167,39.31,93,90,7.2,overcast clouds
40,Avanigadda,IN,16.0215,80.9181,91.54,54,89,12.8,overcast clouds
41,Nenjiang,CN,49.1833,125.2167,64.92,60,99,10.76,light rain
42,Adrar,MR,20.5022,-10.0711,111.6,6,0,15.66,clear sky
43,Trairi,BR,-3.2778,-39.2689,86.5,59,97,12.03,overcast clouds
44,Provideniya,RU,64.3833,-173.3,34.79,86,11,3.94,few clouds
45,Tasiilaq,GL,65.6145,-37.6368,37.76,89,92,0.29,overcast clouds
46,Clyde River,CA,70.4692,-68.5914,39.43,75,20,13.8,few clouds
47,Nikki,BJ,9.9401,3.2108,96.91,30,48,6.85,scattered clouds
48,Barrow,US,71.2906,-156.7887,30.22,93,90,18.41,light snow
49,Port Blair,IN,11.6667,92.75,81.18,86,100,14.9,very heavy rain
50,Riyadh,SA,24.6877,46.7219,104.56,7,0,15.28,clear sky
51,Maarianhamina,AX,60.0973,19.9348,71.46,56,0,9.22,clear sky
52,Jamestown,US,42.097,-79.2353,76.01,85,100,5.01,overcast clouds
53,La Asuncion,VE,11.0333,-63.8628,81.03,75,100,11.45,overcast clouds
54,Hermanus,ZA,-34.4187,19.2345,66.79,76,12,6.06,few clouds
55,Kautokeino,NO,69.0125,23.0412,59.81,55,97,4.07,overcast clouds
56,Severo-Kurilsk,RU,50.6789,156.125,42.44,96,100,6.24,overcast clouds
