City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kavieng,PG,2021-06-08 14:05:51,-2.5744,150.7967,81.3,82,99,11.99
1,Klaksvik,FO,2021-06-08 14:05:51,62.2266,-6.589,50.92,97,49,15.59
2,Ushuaia,AR,2021-06-08 14:05:51,-54.8,-68.3,44.22,81,75,3.44
3,Rikitea,PF,2021-06-08 14:05:51,-23.1203,-134.9692,76.48,84,98,19.84
4,Fallon,US,2021-06-08 14:05:52,39.4735,-118.7774,60.58,25,1,3.44
5,Togur,RU,2021-06-08 14:05:52,58.3631,82.8265,41.81,72,98,17.09
6,Walvis Bay,NA,2021-06-08 14:05:52,-22.9575,14.5053,63.09,56,0,12.46
7,Maryville,US,2021-06-08 14:04:23,35.7565,-83.9705,79.16,89,98,1.01
8,Provideniya,RU,2021-06-08 14:05:52,64.3833,-173.3,34.59,87,12,3.02
9,Hervey Bay,AU,2021-06-08 14:05:53,-25.2986,152.8535,70.03,88,100,5.99
10,Hasaki,JP,2021-06-08 14:05:53,35.7333,140.8333,70.2,78,64,9.42
11,Kodiak,US,2021-06-08 14:05:53,57.79,-152.4072,42.31,81,1,5.75
12,Esperance,AU,2021-06-08 14:05:54,-33.8667,121.9,52.61,72,99,10.45
13,Mar Del Plata,AR,2021-06-08 14:05:54,-38.0023,-57.5575,55.99,91,0,7.0
14,Busselton,AU,2021-06-08 14:05:54,-33.65,115.3333,56.05,56,100,19.19
15,Vaini,TO,2021-06-08 14:05:55,-21.2,-175.2,62.76,94,20,4.61
16,Kruisfontein,ZA,2021-06-08 14:05:55,-34.0033,24.7314,76.89,34,11,11.05
17,Chokurdakh,RU,2021-06-08 14:05:55,70.6333,147.9167,36.54,78,30,1.52
18,Mazatlan,MX,2021-06-08 14:05:10,23.2167,-106.4167,84.02,86,1,1.01
19,Yellowknife,CA,2021-06-08 14:03:26,62.456,-114.3525,41.32,86,100,5.99
20,Nabire,ID,2021-06-08 14:05:56,-3.3667,135.4833,76.66,90,100,2.82
21,Birjand,IR,2021-06-08 14:05:56,32.8663,59.2211,97.27,11,20,16.11
22,Tazovskiy,RU,2021-06-08 14:05:56,67.4667,78.7,39.11,68,97,8.48
23,Clyde River,CA,2021-06-08 14:05:57,70.4692,-68.5914,36.16,85,1,5.17
24,Zatoka,UA,2021-06-08 14:05:57,46.0725,30.4654,73.94,72,78,10.18
25,Saskylakh,RU,2021-06-08 14:05:57,71.9167,114.0833,40.91,54,97,12.01
26,Batagay,RU,2021-06-08 14:05:57,67.6333,134.6333,50.83,71,100,5.91
27,Khatanga,RU,2021-06-08 14:05:58,71.9667,102.5,36.97,75,100,11.12
28,Atuona,PF,2021-06-08 14:05:58,-9.8,-139.0333,78.89,81,59,17.0
29,Dikson,RU,2021-06-08 14:05:58,73.5069,80.5464,31.08,90,16,14.12
30,Lebu,CL,2021-06-08 14:05:58,-37.6167,-73.65,55.99,96,100,18.68
31,Khani,GE,2021-06-08 14:05:59,41.9563,42.9566,74.77,47,45,5.03
32,Hermanus,ZA,2021-06-08 14:05:59,-34.4187,19.2345,67.8,71,2,6.53
33,Hobart,AU,2021-06-08 14:05:59,-42.8794,147.3294,51.26,92,75,5.64
34,Seymchan,RU,2021-06-08 14:06:00,62.8833,152.4333,43.59,78,0,3.51
35,Pevek,RU,2021-06-08 14:06:00,69.7008,170.3133,43.92,74,5,7.78
36,Pontianak,ID,2021-06-08 14:06:00,-0.0333,109.3333,82.38,89,40,1.79
37,Mikhaylovka,RU,2021-06-08 14:06:01,50.06,43.2379,71.08,61,93,4.72
38,Bethel,US,2021-06-08 14:06:01,41.3712,-73.414,87.08,79,1,4.61
39,Huilong,CN,2021-06-08 14:06:02,31.8111,121.655,78.04,96,100,10.47
40,Solnechnyy,RU,2021-06-08 14:06:02,50.7214,136.6319,62.28,76,7,3.87
41,Mataura,NZ,2021-06-08 14:06:02,-46.1927,168.8643,49.48,96,100,2.51
42,Longyearbyen,SJ,2021-06-08 14:01:56,78.2186,15.6401,37.24,75,75,13.8
43,Norman Wells,CA,2021-06-08 14:06:03,65.282,-126.8329,44.58,52,8,7.72
44,Butaritari,KI,2021-06-08 14:06:03,3.0707,172.7902,81.03,77,61,5.32
45,Cape Town,ZA,2021-06-08 14:06:03,-33.9258,18.4232,70.88,55,47,8.99
46,Cidreira,BR,2021-06-08 14:06:04,-30.1811,-50.2056,64.81,79,100,16.2
47,Tasiilaq,GL,2021-06-08 14:06:04,65.6145,-37.6368,42.96,90,96,1.41
48,Castro,BR,2021-06-08 14:06:04,-24.7911,-50.0119,55.38,98,100,8.3
49,Alofi,NU,2021-06-08 14:06:05,-19.0595,-169.9187,76.89,94,90,10.36
50,Hovd,MN,2021-06-08 14:06:05,48.0056,91.6419,66.34,17,100,1.45
51,Mogadishu,SO,2021-06-08 14:06:05,2.0371,45.3438,80.62,76,14,17.27
52,Hilo,US,2021-06-08 14:03:39,19.7297,-155.09,73.27,92,54,4.0
53,Punta Arenas,CL,2021-06-08 14:06:05,-53.15,-70.9167,39.31,93,90,6.55
54,New Norfolk,AU,2021-06-08 14:06:06,-42.7826,147.0587,50.92,84,99,3.0
55,Weligama,LK,2021-06-08 14:06:06,5.9667,80.4167,78.37,87,12,11.27
56,Byron Bay,AU,2021-06-08 14:06:06,-28.65,153.6167,64.35,74,10,18.52
57,Kandrian,PG,2021-06-08 14:06:07,-6.2167,149.55,76.93,91,65,5.14
58,Tiksi,RU,2021-06-08 14:06:07,71.6872,128.8694,36.01,90,100,5.77
59,Astana,KZ,2021-06-08 14:06:07,51.1801,71.446,80.55,21,0,6.89
60,Albany,US,2021-06-08 14:04:40,42.6001,-73.9662,85.75,69,100,1.05
61,Quimper,FR,2021-06-08 14:06:08,48.0,-4.1,73.98,60,75,6.91
62,Port Elizabeth,ZA,2021-06-08 14:06:08,-33.918,25.5701,79.11,40,6,5.55
63,Airai,TL,2021-06-08 14:06:08,-8.9266,125.4092,58.59,91,80,2.46
64,Kapaa,US,2021-06-08 14:06:09,22.0752,-159.319,76.12,80,90,1.01
65,Jamestown,US,2021-06-08 14:06:09,42.097,-79.2353,74.52,91,75,4.0
66,Isabela,PH,2021-06-08 14:06:09,6.7085,121.9711,80.42,80,100,3.62
67,Moree,AU,2021-06-08 14:06:10,-29.4667,149.85,57.22,94,90,8.05
68,Chapais,CA,2021-06-08 14:06:10,49.7834,-74.8492,63.93,42,42,9.66
69,Vila,PT,2021-06-08 14:06:10,42.0304,-8.1588,74.75,47,0,6.02
70,Saint-Philippe,RE,2021-06-08 14:06:10,-21.3585,55.7679,72.99,76,25,14.12
71,Charters Towers,AU,2021-06-08 14:06:11,-20.1,146.2667,64.63,87,92,5.53
72,Pecos,US,2021-06-08 14:03:32,31.4229,-103.4932,85.3,19,1,8.05
73,Kaseda,JP,2021-06-08 14:06:11,31.4167,130.3167,73.31,88,100,2.17
74,Ajaccio,FR,2021-06-08 14:02:44,42.0,8.9167,73.56,88,75,5.48
